CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
CUST00001,56,Male,One year,82.58,1125.21,Yes,Fiber optic,14.0,Yes,Bank transfer,No
CUST00002,69,Female,Month-to-month,60.91,2464.74,Yes,Fiber optic,41.0,Yes,Mailed check,No
CUST00003,46,Female,Two year,45.4,29.78,No,Fiber optic,2.0,No,Credit card,No
CUST00004,32,Male,Month-to-month,105.97,2061.71,No,DSL,19.0,Yes,Electronic check,No
CUST00005,60,Male,Month-to-month,90.02,111.76,Yes,DSL,1.0,Yes,Electronic check,No
CUST00006,25,Female,Month-to-month,74.77,154.19,No,Fiber optic,,Yes,Electronic check,No
CUST00007,38,Female,One year,80.96,2154.88,Yes,Fiber optic,27.0,Yes,Electronic check,Yes
CUST00008,56,Female,One year,29.11,112.69,No,DSL,,Yes,Bank transfer,No
CUST00009,36,Female,One year,67.39,3365.86,Yes,DSL,51.0,Yes,Electronic check,No
CUST00010,40,Female,Month-to-month,39.37,387.15,No,No,10.0,No,Bank transfer,Yes
CUST00011,28,Female,Month-to-month,40.84,825.07,Yes,DSL,,Yes,Credit card,Yes
CUST00012,28,Female,Month-to-month,86.13,1020.06,No,DSL,13.0,No,Electronic check,No
CUST00013,41,Male,One year,111.13,5343.04,Yes,DSL,48.0,Yes,Electronic check,No
CUST00014,53,Female,Month-to-month,60.38,3348.27,No,Fiber optic,,Yes,Credit card,No
CUST00015,57,Female,One year,40.77,2289.18,Yes,Fiber optic,56.0,No,Credit card,No
CUST00016,41,Male,Two year,84.87,4224.78,Yes,DSL,50.0,Yes,Bank transfer,No
CUST00017,20,Female,Two year,107.12,4850.08,No,DSL,45.0,Yes,Mailed check,No
CUST00018,39,Female,Month-to-month,94.83,5656.6,No,Fiber optic,59.0,Yes,Bank transfer,No
CUST00019,19,Male,Month-to-month,106.88,4293.99,Yes,DSL,39.0,No,Mailed check,No
CUST00020,41,Female,Month-to-month,73.66,1541.19,Yes,DSL,21.0,Yes,Bank transfer,No
CUST00021,61,Male,One year,95.19,5272.35,Yes,DSL,55.0,Yes,Mailed check,No
CUST00022,47,Male,Two year,34.01,,No,DSL,57.0,Yes,Electronic check,No
CUST00023,55,Male,Month-to-month,54.83,2268.83,No,Fiber optic,41.0,No,Mailed check,No
CUST00024,19,Male,Month-to-month,58.95,4200.29,No,Fiber optic,70.0,Yes,Credit card,No
CUST00025,38,Female,Two year,71.13,3451.16,No,Fiber optic,49.0,Yes,Credit card,No
